brand,model,battery_capacity_kWh,efficiency_wh_per_km,range_km
Abarth,500e Convertible,37.8,156,225
Abarth,500e Hatchback,37.8,149,225
Abarth,600e Scorpionissima,50.8,158,280
Abarth,600e Turismo,50.8,158,280
Aiways,U5,60.0,156,315
Aiways,U6,60.0,150,350
Alfa,Romeo Junior Elettrica 54 kWh,50.8,128,320
Alfa,Romeo Junior Elettrica 54 kWh Veloce,50.8,164,310
Alpine,A290 Electric 180 hp,52.0,138,310
Alpine,A290 Electric 220 hp,52.0,144,305
Audi,A6 Avant e-tron,75.8,146,465
Audi,A6 Avant e-tron performance,94.9,151,575
Audi,A6 Avant e-tron quattro,94.9,157,560
Audi,A6 Sportback e-tron,75.8,136,495
Audi,A6 Sportback e-tron performance,94.9,141,610
Audi,A6 Sportback e-tron quattro,94.9,147,590
Audi,Q4 Sportback e-tron 40,59.0,156,340
Audi,Q4 Sportback e-tron 45,77.0,162,435
Audi,Q4 Sportback e-tron 45 quattro,77.0,165,410
Audi,Q4 Sportback e-tron 55 quattro,77.0,165,415
Audi,Q4 e-tron 40,59.0,159,325
Audi,Q4 e-tron 45,77.0,169,420
Audi,Q4 e-tron 45 quattro,77.0,171,395
Audi,Q4 e-tron 55 quattro,77.0,171,395
Audi,Q6 e-tron,75.8,166,395
Audi,Q6 e-tron Sportback,75.8,139,410
Audi,Q6 e-tron Sportback performance,94.9,145,510
Audi,Q6 e-tron Sportback quattro,94.9,149,500
Audi,Q6 e-tron performance,94.9,171,490
Audi,Q6 e-tron quattro,94.9,176,480
Audi,S6 Avant e-tron,94.9,156,530
Audi,S6 Sportback e-tron,94.9,149,555
Audi,SQ6 e-tron,94.9,169,470
Audi,SQ6 e-tron Sportback,94.9,164,495
Audi,e-tron GT RS,97.0,184,525
Audi,e-tron GT RS performance,97.0,182,525
Audi,e-tron GT S,97.0,172,540
Audi,e-tron GT quattro,97.0,169,540
BMW,i4 M50,81.3,197,450
BMW,i4 eDrive35,67.1,174,430
BMW,i4 eDrive40,81.3,174,515
BMW,i4 xDrive40,81.3,183,490
BMW,i5 M60 xDrive Sedan (MY25),81.2,172,430
BMW,i5 M60 xDrive Touring (MY25),81.2,179,425
BMW,i5 eDrive40 Sedan (MY25),81.2,159,480
BMW,i5 eDrive40 Touring (MY25),81.2,165,465
BMW,i5 xDrive40 Sedan (MY25),81.2,167,465
BMW,i5 xDrive40 Touring (MY25),81.2,174,450
BMW,i7 M70 xDrive,101.7,208,490
BMW,i7 eDrive50,101.7,177,520
BMW,i7 xDrive60,101.7,172,510
BMW,iX M70 xDrive,108.9,209,500
BMW,iX xDrive45,94.8,193,470
BMW,iX xDrive60,109.1,194,525
BMW,iX1 eDrive20,64.7,150,390
BMW,iX1 xDrive30,64.7,155,380
BMW,iX2 eDrive20,64.7,147,395
BMW,iX2 xDrive30,64.7,155,385
BYD,ATTO 2,45.1,145,245
BYD,ATTO 3 (MY25),60.5,144,340
BYD,DOLPHIN 44.9 kWh Active,44.9,132,265
BYD,DOLPHIN 44.9 kWh Boost,44.9,145,260
BYD,DOLPHIN 60.4 kWh,60.5,142,350
BYD,DOLPHIN SURF 30 kWh Active,30.0,136,190
BYD,DOLPHIN SURF 43.2 kWh Boost,43.2,134,270
BYD,DOLPHIN SURF 43.2 kWh Comfort,43.2,139,265
BYD,SEAL 61.4 kWh RWD Comfort,61.4,133,365
BYD,SEAL 82.5 kWh AWD Excellence,82.5,159,445
BYD,SEAL 82.5 kWh RWD Design,82.5,145,480
BYD,SEAL U 71.8 kWh Comfort,71.8,171,360
BYD,SEAL U 87 kWh Design,87.0,174,425
BYD,SEALION 7 82.5 kWh AWD Design,82.5,181,400
BYD,SEALION 7 82.5 kWh RWD Comfort,82.5,171,415
BYD,SEALION 7 91.3 kWh AWD Excellence,91.3,182,430
BYD,TANG Flagship,108.8,205,460
CUPRA,Born 170 kW - 59 kWh,59.0,156,360
CUPRA,Born 170 kW - 77 kWh,77.0,157,460
CUPRA,Born VZ,79.0,149,465
CUPRA,Tavascan Endurance,77.0,142,445
CUPRA,Tavascan VZ,77.0,150,425
Cadillac,Lyriq 600 E4,102.0,192,460
Citroen,e-Berlingo M 50 kWh,50.0,149,235
Citroen,e-Berlingo XL 50 kWh,50.0,149,230
Citroen,e-C3,44.0,135,255
Citroen,e-C3 Aircross,44.0,144,240
Citroen,e-C4,46.3,135,285
Citroen,e-C4 54 kWh,50.8,122,325
Citroen,e-C4 X,46.3,132,290
Citroen,e-C4 X 54 kWh,50.8,119,335
Citroen,e-SpaceTourer M 50 kWh,46.3,217,180
Citroen,e-SpaceTourer M 75 kWh,68.0,202,260
Citroen,e-SpaceTourer XL 50 kWh,46.3,219,180
Citroen,e-SpaceTourer XL 75 kWh,68.0,204,260
DS,3 E-Tense,50.8,128,300
DS,N°4 E-Tense,58.3,130,375
DS,N°8 AWD Long Range,97.2,146,530
DS,N°8 FWD,73.7,141,415
DS,N°8 FWD Long Range,97.2,136,545
Dacia,Spring Electric 45,25.0,109,165
Dacia,Spring Electric 65,25.0,114,160
Dongfeng,Box 31.4 kWh,29.0,126,190
Dongfeng,Box 42.3 kWh,40.0,129,255
Elaris,BEO 86 kWh,81.0,203,390
